Player,Team,GPlayed,ABats,Runs,Hits,Dbles,Tples,HRuns,RBI,Walks,Skouts,SBasis,Csteal,BAvg,OB%,S%,OBPS
Guerr,TOR,161,604,123,188,29,1,48,111,86,110,4,1,0.311,0.401,0.601,1.002
Hernan,TOR,143,550,92,163,29,0,32,116,36,148,12,4,0.296,0.346,0.524,0.87
Bichete,TOR,159,640,121,191,30,1,29,102,40,137,25,1,0.298,0.343,0.484,0.828
Grichuk,TOR,149,511,59,123,25,1,22,81,27,114,0,3,0.241,0.281,0.423,0.703
Spring,TOR,78,299,59,79,19,1,22,50,37,79,4,1,0.264,0.352,0.555,0.907
Gurriel,TOR,141,500,62,138,28,2,21,84,32,102,1,3,0.276,0.319,0.466,0.784
Jansen,TOR,70,184,32,41,13,0,11,28,17,44,0,0,0.223,0.299,0.473,0.772
Kirk,TOR,60,165,19,40,8,0,8,24,19,22,0,0,0.242,0.328,0.436,0.764
Biggio,TOR,79,250,27,56,10,1,7,27,37,78,3,1,0.224,0.322,0.356,0.678
Dickson,TOR,46,131,16,37,6,2,4,15,9,23,4,1,0.282,0.329,0.45,0.779
Tellez,TOR,50,139,12,29,4,1,4,8,9,33,0,0,0.209,0.272,0.338,0.61
Espinal,TOR,92,222,32,69,13,1,2,17,22,30,6,1,0.311,0.376,0.405,0.781
Panik,TOR,42,114,9,28,6,0,2,11,8,14,0,0,0.246,0.293,0.351,0.644
Davis,TOR,52,70,16,10,1,0,1,4,11,21,4,1,0.143,0.282,0.2,0.482
Lamb,TOR,12,31,5,4,2,0,1,6,5,13,0,0,0.129,0.256,0.29,0.547
McGuire,TOR,78,198,22,50,15,0,1,10,15,44,0,0,0.253,0.31,0.343,0.654
Smith,TOR,18,32,2,3,0,0,1,1,3,11,0,0,0.094,0.194,0.188,0.382
Valera,TOR,39,87,10,22,6,0,1,15,8,12,1,0,0.253,0.313,0.356,0.669
Adams,TOR,12,28,2,3,2,0,0,0,2,12,0,0,0.107,0.167,0.179,0.345
Barnes,TOR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bergen,TOR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
